signal_rank,variant_id,family,base_config_json,stop_loss,take_profit,round_trip_cost_bps,raw_candidates,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,signal_sharpe_stability,signal_selection_score
11,a25608756395,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,0.08,20.0,6747,14278.403664474728,0.4278403664474728,0.020024018778590724,0.3844352031139793,-0.1309853014069523,2130,785,0.47051027170311466,10,False,-0.022,10919.548853607314,0.09195488536073126,0.029717457515111567,0.4447758151182797,-0.04914619212517268,378,117,0.49933949801849403,10,False,-0.022,10345.596147724154,0.034559614772415426,0.011420037989470444,0.3050580418527511,-0.07022198380938893,320,118,0.4244031830238727,10,False,-0.01817356629587736,9617.016797973904,-0.03829832020260959,-0.038598716425988555,-1.298748875427924,-0.055006340778298024,93,47,0.372,10,False,-0.022,-0.06034061200430041,0.9468900240384616
12,39765112165e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,20.0,18482,38755.2521543549,2.87552521543549,0.07832583829148998,0.7058966846421072,-0.3109917631216428,6477,2421,1.4307488402915838,10,False,-0.10628595490546582,13400.668785874519,0.3400668785874519,0.10235001634406227,0.8945520475338474,-0.12412128757347174,1195,395,1.5785997357992074,10,False,-0.04489158831119614,5588.424133377959,-0.44115758666220406,-0.17673494794297218,-1.5043133042858197,-0.47978124730947924,1436,438,1.9045092838196287,10,False,-0.05596621165495238,9692.170409899445,-0.030782959010055455,-0.03102536249921195,-0.15826569865987034,-0.10597536037773359,531,146,2.124,10,False,-0.04100219300593627,-0.18865536289174023,0.9455603966346153
13,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,20.0,4067,24576.450291876896,1.4576450291876895,0.05132899189654094,0.7479526251097431,-0.13882632616163615,1711,695,0.3779544952507179,10,False,-0.022,11427.686997642973,0.1427686997642974,0.045427510679145966,0.5836751117787269,-0.10012732118687684,358,105,0.47291941875825627,10,False,-0.022,9930.505430933928,-0.006949456906607199,-0.0023280241938706814,0.006172521308714005,-0.10202954359753125,276,122,0.3660477453580902,10,False,-0.022,10226.941889637972,0.022694188963797268,0.022877803651818462,0.3796087767426771,-0.059585781759237455,107,44,0.428,10,False,-0.022,-0.16427751333101626,0.9426832932692307
14,72ac675e9377,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.03}",,0.04,20.0,813,12967.849849462184,0.2967849849462183,0.014572085259652479,0.48131635935744793,-0.06698402874179066,305,195,0.06737353655842722,10,False,-0.062180653670453535,10492.88711453933,0.049288711453932876,0.016145268805567436,0.39056228371403034,-0.049692538721730406,77,31,0.10171730515191546,10,False,-0.03236668488626164,10115.618685764748,0.011561868576474899,0.003849401013173992,0.14563729538232337,-0.029388678751592345,64,43,0.08488063660477453,6,False,-0.026001987506222214,10034.781137486181,0.0034781137486181724,0.003505987378820574,0.19066208872973262,-0.01260255806091215,22,18,0.088,3,False,-0.00833904014481518,-0.09075407564341759,0.9394230769230769
15,e6a4cfbe4bad,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.04,0.08,20.0,6747,17488.931963220664,0.7488931963220664,0.03160553148954204,0.4295941794228888,-0.18855942476573717,2130,785,0.47051027170311466,10,False,-0.042,11002.690600593301,0.10026906005933012,0.03232083693699428,0.3773426196016772,-0.08563521339954794,378,117,0.49933949801849403,10,False,-0.042,10570.157322903904,0.057015732290390364,0.018705011332350585,0.3755410665104545,-0.11995771204564931,320,118,0.4244031830238727,10,False,-0.02897820606187689,9394.542230704388,-0.0605457769295612,-0.06101505750416458,-1.1904421580041635,-0.0955890416790296,93,47,0.372,10,False,-0.042,-0.0522515598212116,0.9391526442307692
16,d44ea1e15914,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.05}",,0.02,20.0,538,11591.973611502075,0.15919736115020755,0.008257323462080857,0.47602708214960393,-0.04123289593695101,207,131,0.04572564612326044,10,False,-0.036842397261416714,10443.407171476558,0.04434071714765575,0.014547628505251264,0.7046339765890722,-0.017627131244635663,60,21,0.07926023778071334,10,False,-0.016202794512247588,10001.7480726959,0.0001748072695899605,5.842025033531151e-05,0.01155555332515466,-0.029193337546994602,29,19,0.038461538461538464,3,False,-0.02028426966292134,10061.134259466065,0.0061134259466064655,0.006162483742353286,1.633045009628876,-0.0010981096296782678,7,5,0.028,3,False,-0.0010981096296781595,-0.2286068944394683,0.9389423076923078
17,e4f01dfbafdc,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.04,0.08,20.0,3701,14609.832640557615,0.4609832640557616,0.021327774853078463,0.3622465030073164,-0.14556379410034492,1245,462,0.27501656726308815,10,False,-0.042,11360.943402403676,0.1360943402403676,0.04339094775046015,0.5336799690910188,-0.055290738182520394,229,81,0.30250990752972257,10,False,-0.042,11236.083727407002,0.12360837274070025,0.03972002362469329,1.2402241000644256,-0.024720493394136178,150,67,0.1989389920424403,8,False,-0.023802866204377944,9384.772432854208,-0.061522756714579185,-0.061999357101847785,-1.3862169924606067,-0.07596877112220424,45,29,0.18,10,False,-0.042,-0.17143346608370236,0.9387920673076924
18,5752a31b36ab,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 50000000.0, ""prev_return_max"": 0.0}",,0.08,20.0,1714,15308.8844944842,0.5308884494484201,0.02398847383431746,0.43812545024160104,-0.11998266772960742,740,527,0.16346366246962668,10,False,-0.06311210296048933,10743.92069095868,0.07439206909586793,0.024174305102782068,0.3725094961147184,-0.07302397058650856,162,95,0.21400264200792601,10,False,-0.058217640260405455,10101.873520124718,0.010187352012471784,0.003393309661565702,0.08482877465986055,-0.09831039206984915,226,147,0.29973474801061006,8,False,-0.030451333596059275,9046.172731993418,-0.09538272680065818,-0.09610789075339665,-1.405022464636853,-0.1137560413445311,98,60,0.392,8,False,-0.04525829830028043,-0.06561595412688265,0.9375413161057692
19,12257827a207,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.06,0.08,20.0,6747,18069.82512280631,0.8069825122806309,0.03348362434508445,0.4022558427232593,-0.1663918260951377,2130,785,0.47051027170311466,10,False,-0.062,11815.633360733575,0.1815633360733575,0.057110605975428275,0.5830901278191144,-0.0832645614016112,378,117,0.49933949801849403,10,False,-0.05153913519768673,10287.135643361724,0.028713564336172448,0.009506282133991961,0.187676805702893,-0.1407625002490661,320,118,0.4244031830238727,10,False,-0.037631362112073366,9220.175789418083,-0.07798242105819175,-0.07858110276354191,-1.1145692445880828,-0.11417771232538776,93,47,0.372,10,False,-0.062,-0.18083428509585509,0.9375075120192307
20,37e8e6129018,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.06,,20.0,3635,25788.472544612603,1.5788472544612602,0.054150017186818555,0.5015416572479214,-0.1639686567447357,1473,606,0.32538104705102716,10,False,-0.05643440651381917,11538.204142053672,0.15382041420536718,0.04878236911694778,0.4810268619222146,-0.16009738383323113,354,105,0.4676354029062087,10,False,-0.062,11382.726750419488,0.13827267504194873,0.044235615816623275,0.449035315556123,-0.1160312086091777,275,122,0.3647214854111406,10,False,-0.04901596076382426,10455.429558492671,0.04554295584926704,0.04591553935023729,0.47474784471956044,-0.06371213249770913,107,44,0.428,10,False,-0.036325899048963245,-0.020514795325706825,0.9360727163461539
21,8fd4f118116f,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,0.04,20.0,896,13393.800089975062,0.3393800089975063,0.016398997761020384,0.5231735834220539,-0.06718083548431919,353,228,0.07797658493483543,10,False,-0.062180653670453535,10492.88711453933,0.049288711453932876,0.016145268805567436,0.39056228371403034,-0.049692538721730406,77,31,0.10171730515191546,10,False,-0.03236668488626164,10053.729533203157,0.005372953320315732,0.001792532741916375,0.07548208285751094,-0.030054675291649624,65,43,0.08620689655172414,6,False,-0.026001987506222214,10034.781137486181,0.0034781137486181724,0.003505987378820574,0.19066208872973262,-0.01260255806091215,22,18,0.088,3,False,-0.00833904014481518,-0.13261129970802354,0.9358473557692307
22,f2a5d76175a7,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,,20.0,13804,43768.52549529001,3.3768525495290005,0.0856527124566353,0.5273111318874875,-0.4149099131733375,3930,1271,0.8681245858184228,10,False,-0.14303686580226999,13194.054521919801,0.31940545219198,0.09666273121488822,0.7264528925258468,-0.13062015327395415,712,218,0.940554821664465,10,False,-0.05732425904456412,10720.243037151038,0.07202430371510382,0.023516660944930212,0.2359798924967749,-0.21409158869365208,732,247,0.9708222811671088,10,False,-0.047573020221673326,12866.78226683268,0.28667822668326814,0.28927544530436067,1.5354671500833987,-0.051214411821643435,237,78,0.948,10,False,-0.020748919534589783,-0.1991417606383593,0.9355393629807691
23,1e70cd8f88af,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.04,,20.0,3701,13892.465108163398,0.3892465108163399,0.01846932679108315,0.28893487122649936,-0.18153530885435853,1245,462,0.27501656726308815,10,False,-0.042,10593.405975210719,0.0593405975210719,0.019375476431510608,0.28439527129831077,-0.050152110895972934,229,81,0.30250990752972257,10,False,-0.042,11109.925077001952,0.1109925077001952,0.03580370457231696,1.1167026641755824,-0.024720493394136178,150,67,0.1989389920424403,8,False,-0.023802866204377944,9384.772432854208,-0.061522756714579185,-0.061999357101847785,-1.3862169924606067,-0.07596877112220424,45,29,0.18,10,False,-0.042,-0.004539599928188587,0.9354717548076923
24,15ef44a745cf,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.03}",,,20.0,6736,42565.244434233064,3.2565244434233067,0.08396930774482336,0.5733789132638709,-0.35670815112107124,2024,748,0.4470952065385465,10,False,-0.14695611304480086,13441.271151244195,0.3441271151244194,0.1034607518199544,0.8574742784897283,-0.11214114763956728,458,138,0.6050198150594451,10,False,-0.05732425904456412,10589.568094267866,0.058956809426786716,0.01932985831911682,0.22625284181932942,-0.15897790232822928,350,151,0.46419098143236076,10,False,-0.04040792755699627,12241.624436533693,0.22416244365336935,0.22614480932573078,1.5016342779857852,-0.03862361813565163,145,56,0.58,10,False,-0.01498271561195762,-0.28409536522585743,0.9354417067307692
25,9dfa47f09560,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,,20.0,3701,14687.359985724073,0.46873599857240733,0.02162871427320212,0.410692094031246,-0.11563664387550543,1245,462,0.27501656726308815,10,False,-0.022,10564.49721884978,0.05644972188497799,0.018448586059738536,0.32666223698969105,-0.048059912035219754,229,81,0.30250990752972257,10,False,-0.022,10740.51168350077,0.07405116835007708,0.024163015901801588,0.9248425172866346,-0.03292787833377875,150,67,0.1989389920424403,8,False,-0.01377356629587736,9526.92784055488,-0.04730721594451204,-0.04767650558959491,-1.9104691233626936,-0.053610329918179045,45,29,0.18,10,False,-0.022,-0.08402985704155497,0.9350360576923078
26,4880dc77dd0e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 50000000.0, ""prev_return_max"": 0.0}",,0.04,20.0,1714,13052.348028525945,0.3052348028525944,0.014938961631749237,0.39111544652311064,-0.09161270050148185,740,527,0.16346366246962668,10,False,-0.06311210296048933,10493.972125616183,0.04939721256161822,0.01618024597440293,0.3490422781987967,-0.06445795826895084,162,95,0.21400264200792601,10,False,-0.03928033865061724,9877.491273249252,-0.012250872675074742,-0.004111268687435166,-0.055880168797163586,-0.0745912925446921,226,147,0.29973474801061006,8,False,-0.03445133359605927,9139.795231952286,-0.08602047680477132,-0.08667791877945974,-1.5051277540149073,-0.1026778308181664,98,60,0.392,8,False,-0.03716723992691595,-0.04207316832431396,0.9346078725961537
27,6c3a203437d2,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.05}",,0.08,20.0,1413,17099.0378057762,0.7099037805776198,0.0303116298729198,0.4391505061936501,-0.09739080302662184,494,234,0.10912303954053457,10,False,-0.08802614682800709,11131.250378502895,0.11312503785028949,0.03632065835769316,0.45405471630272354,-0.1353176939784697,142,43,0.18758256274768825,10,False,-0.07462597171191593,10764.946440470469,0.07649464404704687,0.02494114690935101,0.5379513907212107,-0.06557408999509462,60,35,0.07957559681697612,10,False,-0.02559244388376425,10963.493861490595,0.09634938614905941,0.09715647273667005,1.1941524790279356,-0.0067584721942235415,31,10,0.124,10,False,-0.006758472194223553,-0.014904210109073446,0.9344200721153846
28,8b0f308ef8f3,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,,20.0,1482,12506.862818170392,0.2506862818170392,0.012529913218033206,0.3440786795684133,-0.08909128875165961,496,226,0.10956483322288492,10,False,-0.022,10859.689099116107,0.08596890991161077,0.027834897718029605,0.5309730136483624,-0.037589219563411436,125,35,0.16512549537648613,10,False,-0.01771299726203899,10153.736464809697,0.015373646480969727,0.005112068253753543,0.38301132836727436,-0.012402566618251565,43,29,0.05702917771883289,6,False,-0.0066,9614.489422143508,-0.038551057785649157,-0.03885339606551674,-1.7249872632476804,-0.038551057785649157,19,9,0.076,10,False,-0.022,-0.18689433407994904,0.9340782752403847
29,7ac9a6750f91,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.03}",0.06,0.08,20.0,6736,22832.64768426306,1.2832647684263057,0.04703064993225037,0.524876239936287,-0.2100134199681023,2024,748,0.4470952065385465,10,False,-0.062,11762.609106915024,0.17626091069150251,0.055529016125807074,0.5320864463496665,-0.18930659302393382,458,138,0.6050198150594451,10,False,-0.048,9561.538771826905,-0.043846122817309485,-0.01487339820412581,-0.13926866814054853,-0.18758075017409181,350,151,0.46419098143236076,10,False,-0.052814417521644355,11227.426688405087,0.12274266884050866,0.12378303035420624,1.036710764997845,-0.050697611237664586,145,56,0.58,10,False,-0.028132074895894754,-0.00721020641337955,0.9337965745192307
30,2f83f9ddd995,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,20.0,6443,20668.448421863857,1.0668448421863856,0.04124260360859,0.43387278105211213,-0.245416019021639,2538,1359,0.5606361829025845,10,False,-0.11012270702342766,11733.873996884144,0.17338739968841432,0.05466992693160666,0.5736187116581667,-0.11861531000503733,519,222,0.6856010568031704,10,False,-0.058217640260405455,8041.272041908929,-0.1958727958091071,-0.07026779311933307,-0.6844867864067226,-0.26941300139467694,558,278,0.7400530503978779,10,False,-0.052378952543084334,9694.972195494342,-0.03050278045056587,-0.03074301281870584,-0.18499216597798496,-0.1161760026920271,251,101,1.004,10,False,-0.04909325137930075,-0.13974593060605456,0.933563701923077
31,24a4d10e2704,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""prev_return_max"": 0.0}",,,20.0,16272,45954.45061822989,3.5954450618229883,0.08860200436995447,0.5504139397863812,-0.3895834959560347,5401,2127,1.1930638391870996,10,False,-0.1487492497994693,12795.204989639436,0.2795204989639437,0.08551362613818103,0.6181061063656927,-0.18967830871919056,1172,391,1.548216644649934,10,False,-0.06620893445699566,6288.51990630676,-0.371148009369324,-0.1436104446941291,-0.911192868908797,-0.4396406738463047,1428,436,1.893899204244032,10,False,-0.05596621165495238,10303.43801383439,0.03034380138343895,0.03059022754684504,0.24785289810811445,-0.1427429612833182,531,146,2.124,10,False,-0.04909325137930075,-0.06769216657931154,0.933270733173077
32,2f7eb5b238f3,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.05}",,,20.0,3432,31487.005068830767,2.1487005068830767,0.0659307279276049,0.5212706176166787,-0.32913527521065733,1164,442,0.2571239231278993,10,False,-0.10845823494582545,11405.123231982087,0.1405123231982086,0.044739907186393646,0.4426260588700661,-0.13453397162794822,272,79,0.35931307793923384,10,False,-0.08517921068656048,10479.833903980018,0.04798339039800181,0.01578734198036691,0.22134931741624203,-0.12856385320859975,160,77,0.21220159151193635,10,False,-0.039991840763981455,11668.709385286664,0.1668709385286664,0.16831245410298967,1.4207250932825226,-0.023073050117470184,66,32,0.264,10,False,-0.013264238896935709,-0.07864455874661258,0.9326547475961539
33,aac21da9a17e,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,0.08,20.0,1482,12528.28336681727,0.252828336681727,0.012626369197205056,0.4061528038207252,-0.06617186985828594,496,226,0.10956483322288492,10,False,-0.022,11469.029343641108,0.14690293436411084,0.046685022382348285,0.7906724158758421,-0.02095419817383648,125,35,0.16512549537648613,10,False,-0.01771299726203899,10208.320912977451,0.020832091297745103,0.006914717138520654,0.511189915906203,-0.012402566618251343,43,29,0.05702917771883289,6,False,-0.0066,9614.489422143508,-0.038551057785649157,-0.03885339606551674,-1.7249872632476804,-0.038551057785649157,19,9,0.076,10,False,-0.022,-0.3845196120551169,0.9324444110576924
34,50c1dbe8fb0f,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.05}",,0.02,20.0,492,11372.941622137856,0.13729416221378554,0.007187242264048432,0.43862076925909166,-0.04123289593695101,179,111,0.03954053457035565,10,False,-0.036842397261416714,10443.407171476558,0.04434071714765575,0.014547628505251264,0.7046339765890722,-0.017627131244635663,60,21,0.07926023778071334,10,False,-0.016202794512247588,10063.241325474872,0.0063241325474872045,0.0021092016431445426,0.14579349590474358,-0.02919333754699427,28,19,0.03713527851458886,3,False,-0.02028426966292134,10061.134259466065,0.0061134259466064655,0.006162483742353286,1.633045009628876,-0.0010981096296782678,7,5,0.028,3,False,-0.0010981096296781595,-0.26601320732998057,0.9323317307692308
35,68fb9f934beb,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,0.08,20.0,3308,12622.28939205142,0.262228939205142,0.013047841919216818,0.3174621023993032,-0.11356273081337576,1062,392,0.2345924453280318,10,False,-0.022,11031.622774669428,0.10316227746694273,0.033223698145920855,0.5472228259948777,-0.0354144457565958,219,78,0.2892998678996037,10,False,-0.022,10782.811855707227,0.07828118557072261,0.02550933167824354,0.9963176290959019,-0.030509040085237915,150,67,0.1989389920424403,8,False,-0.01377356629587736,9526.92784055488,-0.04730721594451204,-0.04767650558959491,-1.9104691233626936,-0.053610329918179045,45,29,0.18,10,False,-0.022,-0.22976072359557448,0.9308743990384615
36,30a224c68ce7,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.1}",,0.08,20.0,2799,21128.90195001533,1.1128901950015329,0.042520492093991225,0.47486527175521004,-0.1705527664614278,1423,628,0.3143362049922686,10,False,-0.149190967170852,12634.247455652183,0.26342474556521833,0.08094868420891155,0.716417670658569,-0.11678375535318997,310,95,0.4095112285336856,10,False,-0.09979117776153658,10782.979244298283,0.0782979244298283,0.025514652275591132,0.33645736448174857,-0.11501658212098753,238,115,0.3156498673740053,10,False,-0.04168813389755347,10448.559937252165,0.044855993725216425,0.045222836589952964,0.5635096984317924,-0.03374750688380468,93,41,0.372,10,False,-0.024511810018071418,-0.24155239890335894,0.9307992788461538
37,bf270267ad6f,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.05}",,0.08,20.0,1559,18189.84865677268,0.818984865677268,0.033864556620837316,0.46623834512936957,-0.10509573333180244,574,275,0.12679478683454826,10,False,-0.08802614682800709,11065.428853763082,0.10654288537630818,0.034276656096174474,0.4293192710868384,-0.14043075009189543,142,43,0.18758256274768825,10,False,-0.07462597171191593,10698.833499874323,0.06988334998743229,0.0228330394432954,0.4924356707594055,-0.07131286863382469,61,35,0.08090185676392574,10,False,-0.02559244388376425,10963.493861490595,0.09634938614905941,0.09715647273667005,1.1941524790279356,-0.0067584721942235415,31,10,0.124,10,False,-0.006758472194223553,-0.03691907404253114,0.9301457331730768
38,778b74ad5414,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.05}",,0.08,20.0,3827,24654.278585742184,1.4654278585742184,0.051514045909872186,0.5252830072999836,-0.26388314688258385,1335,505,0.29489728296885354,10,False,-0.10911905776559479,13057.417151542064,0.30574171515420634,0.09286892435801852,0.8630648995983933,-0.10699412259712204,274,80,0.3619550858652576,10,False,-0.07462597171191593,10284.275392166426,0.02842753921664265,0.009412463710295693,0.16674935794525295,-0.13346280317054027,162,77,0.21485411140583555,10,False,-0.039991840763981455,11398.112523303667,0.13981125233036673,0.14100514721302781,1.5100974770475803,-0.023073050117470184,66,32,0.264,10,False,-0.013264238896935709,-0.3377818922984097,0.9297400841346155
39,494e3625db1b,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.03}",,,20.0,12203,37512.8523865629,2.7512852386562905,0.07637179990725529,0.49267253022289703,-0.4389069879888563,3415,1130,0.7543627126132096,10,False,-0.14303686580226999,13188.468324730771,0.3188468324730771,0.09650814275311603,0.7242317762051311,-0.13334117326075878,708,217,0.9352708058124174,10,False,-0.05732425904456412,10879.690337917835,0.08796903379178356,0.02857955315835481,0.2741868792397596,-0.1978188136761132,729,246,0.96684350132626,10,False,-0.042116319076071974,12866.78226683268,0.28667822668326814,0.28927544530436067,1.5354671500833987,-0.051214411821643435,237,78,0.948,10,False,-0.020748919534589783,-0.2315592459822341,0.9289963942307694
40,55e65d4f975a,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.04,0.08,20.0,3308,13273.674894526688,0.3273674894526688,0.015889396466437944,0.29331832155085064,-0.12721245932036718,1062,392,0.2345924453280318,10,False,-0.042,11286.50366953107,0.12865036695310694,0.04111011350439209,0.5066785199889383,-0.054626127833727556,219,78,0.2892998678996037,10,False,-0.042,11236.083727407002,0.12360837274070025,0.03972002362469329,1.2402241000644256,-0.024720493394136178,150,67,0.1989389920424403,8,False,-0.023802866204377944,9384.772432854208,-0.061522756714579185,-0.061999357101847785,-1.3862169924606067,-0.07596877112220424,45,29,0.18,10,False,-0.042,-0.21336019843808768,0.9283128004807693
41,52a8aedec889,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.08}",,0.02,20.0,893,11139.297829571184,0.11392978295711842,0.006024106232661364,0.30088354020517244,-0.053797186917296624,304,133,0.06715263971725205,10,False,-0.032261144648615944,10346.355579034056,0.03463555790340567,0.01139923759361694,0.4329088540207311,-0.023601286077928663,94,22,0.12417437252311757,10,False,-0.02193296866244996,9738.250152601631,-0.026174984739836926,-0.008825491938747931,-0.4353269696329634,-0.03475425603791982,10,10,0.013262599469496022,1,False,-0.033860933660933665,9456.809854864285,-0.05431901451357157,-0.05474145033400912,-1.0677323461913744,-0.05431901451357157,12,3,0.048,10,False,-0.05119374327267785,-0.13202531381555865,0.9278958834134615
42,c86ca0e5a07f,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",,0.04,20.0,6747,15081.098579700285,0.5081098579700285,0.023134315357957735,0.3293622870489685,-0.15714497403422656,2130,785,0.47051027170311466,10,False,-0.09665669503464737,10570.18060938988,0.05701806093898787,0.018630943935013855,0.28795403870935815,-0.07379591312729061,378,117,0.49933949801849403,10,False,-0.05666967238229849,10657.705394851091,0.06577053948510914,0.021517230576449498,0.3671424064020905,-0.12500015088266958,320,118,0.4244031830238727,10,False,-0.03664927451746695,9374.010549833572,-0.06259894501664276,-0.06308359902658589,-0.9357341932276346,-0.1023059124590735,93,47,0.372,10,False,-0.05415036026383071,-0.041408248339610376,0.9273850661057692
43,bc1de0faf9e5,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.02, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.04,0.08,20.0,5935,13756.74854501685,0.37567485450168503,0.01791290658667477,0.276555958823432,-0.17257696170539572,1825,670,0.40313673514468745,10,False,-0.042,11029.42352713686,0.1029423527136859,0.03315512365188078,0.38712573929064287,-0.08213709715027129,364,115,0.4808454425363276,10,False,-0.042,10570.157322903904,0.057015732290390364,0.018705011332350585,0.3755410665104545,-0.11995771204564931,320,118,0.4244031830238727,10,False,-0.02897820606187689,9394.542230704388,-0.0605457769295612,-0.06101505750416458,-1.1904421580041635,-0.0955890416790296,93,47,0.372,10,False,-0.042,-0.11056978046721089,0.9270883413461539
44,ab1b0142b296,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.05}",,0.08,20.0,6295,24126.07124835096,1.412607124835096,0.05024712398541897,0.4604023388665435,-0.3467412755319721,2140,751,0.4727192401148664,10,False,-0.11440633558164284,12873.039333952025,0.28730393339520255,0.08770736456543538,0.757702122118164,-0.11276187955365369,384,127,0.5072655217965654,10,False,-0.07462597171191593,10711.849523513541,0.07118495235135414,0.023248758603265474,0.300645495984995,-0.18331716664353404,326,138,0.4323607427055703,10,False,-0.05603983364007499,12120.811034316841,0.21208110343168407,0.21394758087063237,1.6314477169542827,-0.032295055126585814,111,43,0.444,10,False,-0.01357140177390379,-0.2972997832516205,0.9268780048076924
