signal_rank,variant_id,family,base_config_json,stop_loss,take_profit,round_trip_cost_bps,raw_candidates,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,signal_sharpe_stability,signal_selection_score
1,d3fb518fbd7b,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,0.08,20.0,896,16273.126002435323,0.6273126002435323,0.02747613837505325,0.566005851635527,-0.09252211154160717,353,228,0.07797658493483543,10,False,-0.062180653670453535,11157.032227587171,0.11570322275871714,0.037119082587258045,0.6105271361154174,-0.0563455226947307,77,31,0.10171730515191546,10,False,-0.0408038648194583,10340.898012329377,0.03408980123293759,0.011266506868579995,0.3408774214638033,-0.03149717863578927,65,43,0.08620689655172414,6,False,-0.022001987506222214,10096.835749560663,0.00968357495606642,0.009761420438058721,0.40902418649183714,-0.018999103978220244,22,18,0.088,3,False,-0.00833904014481518,-0.044521284479890455,0.9654447115384615
2,5afba290676c,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,20.0,3635,20196.044572000832,1.0196044572000833,0.039903299579272744,0.5928369939835153,-0.1545814651488926,1473,606,0.32538104705102716,10,False,-0.022,11508.630755298496,0.15086307552984968,0.04788674754853073,0.6152369144218486,-0.09811443047255808,354,105,0.4676354029062087,10,False,-0.022,9952.497691803726,-0.004750230819627332,-0.0015901274477010396,0.015825748974901948,-0.10004088343638184,275,122,0.3647214854111406,10,False,-0.022,10226.941889637972,0.022694188963797268,0.022877803651818462,0.3796087767426771,-0.059585781759237455,107,44,0.428,10,False,-0.022,-0.022399920438333276,0.9618088942307692
3,59b1c0c0d28c,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.02,0.08,20.0,2235,13689.045450311032,0.36890454503110326,0.017633391900891082,0.4849749636088297,-0.07600071833035682,815,405,0.18003092555776454,10,False,-0.022,10990.379240351256,0.09903792403512557,0.03193616663860577,0.5449062728630906,-0.04456711980265049,179,67,0.23645970937912814,10,False,-0.018827358551462763,9947.680321621432,-0.0052319678378568435,-0.0017516696458025338,-0.07276009945497515,-0.02626350192076421,106,69,0.14058355437665782,10,False,-0.0066,9403.23441468682,-0.059676558531318036,-0.060139319788291346,-1.8630659461191101,-0.06876114794308275,47,23,0.188,10,False,-0.022,-0.05993130925426088,0.95927734375
4,aeb583bdb7a4,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,20.0,18482,62015.92258704765,5.201592258704765,0.10691809443982603,0.7423802793227325,-0.27502510017806636,6477,2421,1.4307488402915838,10,False,-0.12580672402477608,14370.268297342545,0.43702682973425455,0.1282853650635447,0.8854664424536391,-0.10638637922076932,1195,395,1.5785997357992074,10,False,-0.058217640260405455,5887.3653614283785,-0.41126346385716217,-0.16227096808341057,-1.1823284342916622,-0.4633760074569967,1436,438,1.9045092838196287,10,False,-0.05596621165495238,10065.47400880247,0.0065474008802470784,0.0065999525599163,0.1249359198028769,-0.13690132498370478,531,146,2.124,10,False,-0.04909325137930075,-0.1430861631309066,0.9582406850961538
5,b5567d8c9030,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.08, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.03}",,0.08,20.0,813,15044.681114405865,0.5044681114405865,0.022996627672491554,0.4926817824724525,-0.0882718126247295,305,195,0.06737353655842722,10,False,-0.062180653670453535,11157.032227587171,0.11570322275871714,0.037119082587258045,0.6105271361154174,-0.0563455226947307,77,31,0.10171730515191546,10,False,-0.0408038648194583,10404.299905398637,0.040429990539863736,0.01333452571781324,0.398984150332101,-0.031497178635789935,64,43,0.08488063660477453,6,False,-0.022001987506222214,10096.835749560663,0.00968357495606642,0.009761420438058721,0.40902418649183714,-0.018999103978220244,22,18,0.088,3,False,-0.00833904014481518,-0.11784535364296495,0.9544771634615385
6,810de8977158,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.04,20.0,39861,45103.23027202882,3.5103230272028823,0.08746960074542076,0.6475932247721959,-0.36138902134586326,11830,3245,2.613209631102275,10,False,-0.10628595490546582,13247.925069186082,0.32479250691860817,0.09815127063233597,0.7210540554134907,-0.13045276671553718,2074,527,2.739762219286658,10,False,-0.05045802043617424,5368.3823713059755,-0.46316176286940247,-0.1877140364018861,-1.275612536623968,-0.5038847078373536,2540,569,3.3687002652519893,10,False,-0.06129574702629674,9771.558212413,-0.02284417875870004,-0.02302481198586026,-0.08155598794892863,-0.13774238185334486,815,188,3.26,10,False,-0.04100219300593627,-0.07346083064129472,0.9540414663461538
7,08f00ed65665,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,20.0,39861,58325.812583264524,4.832581258326452,0.10314451569817829,0.627603749653276,-0.36986168358472404,11830,3245,2.613209631102275,10,False,-0.12580672402477608,14161.890350912485,0.4161890350912485,0.12281239583023784,0.7496510736893177,-0.12550179067904854,2074,527,2.739762219286658,10,False,-0.06277386699508251,5387.325519290027,-0.4612674480709973,-0.1867572006253474,-1.1259981401479753,-0.5090078100764408,2540,569,3.3687002652519893,10,False,-0.06129574702629674,10058.250910019784,0.005825091001978366,0.005871828279787383,0.12416733057790902,-0.16206371747505732,815,188,3.26,10,False,-0.04909325137930075,-0.12204732403604168,0.9501727764423077
8,7bbe6d4eb49d,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,0.08,20.0,4067,16052.109331094342,0.6052109331094342,0.026694300677766458,0.5369948002133826,-0.13983767251399404,1711,695,0.3779544952507179,10,False,-0.022,11168.932140856985,0.11689321408569842,0.037487189483076166,0.5289474739788316,-0.11533618229843934,358,105,0.47291941875825627,10,False,-0.022,9413.499354617079,-0.058650064538292135,-0.01999755966700123,-0.2933799744432953,-0.11557438563473543,276,122,0.3660477453580902,10,False,-0.022,10011.998421468292,0.001199842146829111,0.0012094466862546671,0.04921330686545446,-0.059585781759237455,107,44,0.428,10,False,-0.022,-0.008047326234551067,0.9497746394230768
9,16968da02607,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,,20.0,7550,56188.02330864129,4.6188023308641295,0.10085386666922957,0.6500300923952478,-0.3443861681426088,2333,852,0.5153523304616744,10,False,-0.14695611304480086,13306.45264034451,0.33064526403445105,0.099763922377754,0.8303607975837323,-0.11150990157918617,463,141,0.6116248348745046,10,False,-0.05732425904456412,10481.537818279705,0.04815378182797048,0.015842537246931965,0.1944450083670606,-0.17227080807515616,354,153,0.46949602122015915,10,False,-0.04040792755699627,12241.624436533693,0.22416244365336935,0.22614480932573078,1.5016342779857852,-0.03862361813565163,145,56,0.58,10,False,-0.01498271561195762,-0.18033070518848449,0.9491135817307692
10,a57ed6864f77,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,0.08,20.0,3701,13994.606520867857,0.39946065208678583,0.01888471812921999,0.4206155692036051,-0.11771382331674207,1245,462,0.27501656726308815,10,False,-0.022,11070.611231461815,0.10706112314618155,0.03443788183062457,0.5598220500936669,-0.03949141846315041,229,81,0.30250990752972257,10,False,-0.022,10782.811855707227,0.07828118557072261,0.02550933167824354,0.9963176290959019,-0.030509040085237915,150,67,0.1989389920424403,8,False,-0.01377356629587736,9526.92784055488,-0.04730721594451204,-0.04767650558959491,-1.9104691233626936,-0.053610329918179045,45,29,0.18,10,False,-0.022,-0.13920648089006182,0.9481595552884616
